novel-referent-mul,inference-type,forget,power,no-novelty,repetitions,scene,number of novel features,novel-referent-sum,familiar-object,iterations,path,maxtime,probabilistic,ratio-sum,ratio-mul,dummy,overlapping-feature(s),name,prop-novel-features,familiar-referent-mul,novelty,novel-word,corpus-path,familiar-referent-sum,n-features,fix-words,lambda
2.1273644579869915e-09,MUL&SUM,False,1,True,1,"set(['food#2', 'fabric#1', 'artifact#1', 'matter#3', 'whole#2', 'physical entity#1', 'object#1', 'meat#1', 'solid#1'])",0,0.3208049215655136,wool:N,1,./results_ref_prob,1000,False,1.1514721318755687,298.77415913117835,False,['physical entity#1'],no novel features,0.0,7.1203094142186536e-12,0.03,lambchop:N,input_wn_fu_cs_scaled_categ.dev,0.27860415609275091,5,False,0.0001
1.6910647673904093e-10,MUL&SUM,False,1,False,1,"set(['group#1', 'state#2', 'condition#1', 'novelft#1', 'abstraction#6', 'attribute#2', 'force#4', 'social group#1', 'need'])",0,0.059425859997017202,need:N,1,./results_ref_prob,1000,False,1.4522321605355997,9.1205211392371766,False,['abstraction#6'],no novel features,0.0,1.8541317338932751e-11,0.03,army:N,input_wn_fu_cs_scaled_categ.dev,0.040920358061138293,5,False,-1
9.2522788925895381e-13,MUL&SUM,False,1,True,1,"set(['organism#1', 'causal agent#1', 'natural object#1', 'person#1', 'whole#2', 'physical entity#1', 'object#1', 'celestial body#1', 'living thing#1'])",0,0.021859630960410013,sun:N,1,./results_ref_prob,1000,False,0.59530117502474522,0.25014839803929256,False,['whole#2'],no novel features,0.0,3.6987160282098699e-12,0.03,raja:N,input_wn_fu_cs_scaled_categ.dev,0.036720288616096483,5,False,0.0001
1.8085548088312679e-06,MUL&SUM,False,0.5,True,1,"set(['group#1', 'state#2', 'condition#1', 'abstraction#6', 'organization#1', 'attribute#2', 'force#4', 'social group#1', 'need'])",0,0.68957542369419289,need:N,1,./results_ref_prob,1000,False,2.7135678746650442,47.166960449702067,False,['abstraction#6'],no novel features,0.0,3.8343679380397549e-08,False,army:N,input_wn_fu_cs_scaled_categ.dev,0.25412131022494222,5,False,0.0001
1.1391766589155122e-06,MUL&SUM,False,1,True,1,"set(['group#1', 'state#2', 'condition#1', 'abstraction#6', 'organization#1', 'attribute#2', 'force#4', 'social group#1', 'need'])",0,0.45492795281832366,need:N,1,./results_ref_prob,1000,False,1.8525582031044303,21.089556177579237,False,['abstraction#6'],no novel features,0.0,5.4016151374802077e-08,0.03,army:N,input_wn_fu_cs_scaled_categ.dev,0.2455674278173699,5,False,0.0001
1.8234676190782042e-19,MUL&SUM,False,1,False,1,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'novelft#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'city#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])",0,0.25976597407461438,elephant:N,1,./results_ref_prob,1000,False,17.482201900957879,286244417877.05811,False,"['physical entity#1', 'object#1']",no novel features,0.0,6.3703167824267679e-31,False,chester:N,input_wn_fu_cs_scaled_categ.dev,0.014858881938686532,10,False,-1
1.2589225447199564e-32,MUL&SUM,False,0.5,True,1,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'administrative district#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])",0,0.0065582016532109572,elephant:N,1,./results_ref_prob,1000,False,1.2373640070310399,8.2821063954106613,False,"['physical entity#1', 'object#1']",no novel features,0.0,1.5200511616435636e-33,0.03,chester:N,input_wn_fu_cs_scaled_categ.dev,0.00530013934133001,10,False,-1
2.2086902369241795e-13,MUL&SUM,False,1,True,1,"set(['food#2', 'way#6', 'artifact#1', 'matter#3', 'whole#2', 'physical entity#1', 'seafood#1', 'object#1', 'solid#1'])",0,0.046144365820414632,ladder:N,1,./results_ref_prob,1000,False,1.1843596539555468,302.31410196471455,False,['physical entity#1'],no novel features,0.0,7.3059451165859709e-16,False,sucker:N,input_wn_fu_cs_scaled_categ.dev,0.038961446944178489,5,False,-1
2.6202241723411421e-23,MUL&SUM,False,1,False,1,"set(['crepe', 'material#1', 'entity#1', 'artifact#1', 'matter#3', 'paper#1', 'whole#2', 'substance#1', 'guitar', 'physical entity#1', 'device#1', 'object#1', 'novelft#1', 'relation#1', 'instrumentality#3', 'abstraction#6', 'stringed instrument#1', 'musical instrument#1'])",0,0.15656954438009937,guitar:N,1,./results_ref_prob,1000,False,1.0335693587249659,327.05684914824667,False,"['entity#1', 'physical entity#1']",no novel features,0.0,8.0115251497254543e-26,False,crepe:N,input_wn_fu_cs_scaled_categ.dev,0.1514843131313868,10,False,-1
9.1292970356388311e-33,MUL&SUM,False,0.5,True,1,"set(['crepe', 'part#1', 'entity#1', 'artifact#1', 'matter#3', 'abstraction#6', 'whole#2', 'substance#1', 'guitar', 'physical entity#1', 'device#1', 'object#1', 'material#1', 'paper#1', 'relation#1', 'instrumentality#3', 'stringed instrument#1', 'musical instrument#1'])",0,0.0062959546093184554,guitar:N,1,./results_ref_prob,1000,False,1.1183539810350904,3.988173425251353,False,"['entity#1', 'physical entity#1']",no novel features,0.0,2.2890922891758302e-33,0.03,crepe:N,input_wn_fu_cs_scaled_categ.dev,0.0056296617315129919,10,False,-1
