number of features per object,number of novel features for novel object,power,   forgetting,novelty,lambda,novel word,familiar object,scene,overlapping features, ratio-SUM,ratio-PROD
10,0,0.5,False,0.03,-1,city:N,spider:N,"set(['animal#1', 'invertebrate#1', 'arthropod#1', 'municipality#1', 'organism#1', 'location#1', 'administrative district#1', 'whole#2', 'region#3', 'spider', 'district#1', 'physical entity#1', 'living thing#1', 'geographical area#1', 'urban area#1', 'arachnid#1', 'object#1'])","['physical entity#1', 'object#1']",1.1789515602326428,5.5708157159356197
10,0,0.5,False,0.03,-1,city:N,spider:N,"set(['animal#1', 'invertebrate#1', 'arthropod#1', 'municipality#1', 'organism#1', 'location#1', 'administrative district#1', 'whole#2', 'region#3', 'spider', 'district#1', 'physical entity#1', 'living thing#1', 'geographical area#1', 'urban area#1', 'arachnid#1', 'object#1'])","['physical entity#1', 'object#1']",1.1789515602326428,5.5708157159356197
10,0,0.5,False,0.03,-1,cob:N,panda:N,"set(['animal#1', 'mammal#1', 'organism#1', 'placental#1', 'natural object#1', 'nut#1', 'edible nut#1', 'whole#2', 'vertebrate#1', 'plant organ#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'fruit#1', 'reproductive structure#1', 'carnivore#1', 'plant part#1', 'object#1'])","['whole#2', 'object#1']",1.1239038304165712,3.0508891184097013
10,0,0.5,False,0.03,-1,compartment:N,snout:N,"set(['attribute#2', 'amorphous shape#1', 'sense organ#1', 'part#3', 'organ#1', 'abstraction#6', 'nose#1', 'body part#1', 'chemoreceptor#1', 'entity#1', 'snout', 'physical entity#1', 'object#1', 'shape#2', 'location#1', 'compartment', 'space#2', 'thing#12'])","['entity#1', 'physical entity#1']",0.97482057590131255,0.7142318515961239
10,0,0.5,False,0.03,-1,crepe:N,guitar:N,"set(['crepe', 'part#1', 'entity#1', 'artifact#1', 'matter#3', 'abstraction#6', 'whole#2', 'substance#1', 'guitar', 'physical entity#1', 'device#1', 'object#1', 'material#1', 'paper#1', 'relation#1', 'instrumentality#3', 'stringed instrument#1', 'musical instrument#1'])","['entity#1', 'physical entity#1']",1.1183539810350904,3.988173425251353
10,0,0.5,False,0.03,-1,crepe:N,toe:N,"set(['crepe', 'part#1', 'external body part#1', 'part#3', 'matter#3', 'abstraction#6', 'body part#1', 'substance#1', 'entity#1', 'physical entity#1', 'relation#1', 'extremity#5', 'digit#3', 'paper#1', 'material#1', 'extremity#1', 'thing#12', 'toe'])","['entity#1', 'physical entity#1']",0.96237139823512485,0.68141982391595024
10,0,0.5,False,0.03,-1,cymbal:N,skull:N,"set(['percussion instrument#1', 'skull', 'part#3', 'artifact#1', 'connective tissue#1', 'body part#1', 'tissue#1', 'entity#1', 'whole#2', 'bone#1', 'physical entity#1', 'device#1', 'cymbal', 'object#1', 'animal tissue#1', 'instrumentality#3', 'thing#12', 'musical instrument#1'])","['entity#1', 'physical entity#1']",0.8535248994230753,0.15848691334023024
10,0,0.5,False,0.03,-1,denmark:N,mummy:N,"set(['district#1', 'progenitor#1', 'organism#1', 'causal agent#1', 'location#1', 'country#2', 'administrative district#1', 'person#1', 'whole#2', 'ancestor#1', 'physical entity#1', 'european country#1', 'region#3', 'object#1', 'relative#1', 'scandinavian country#1', 'living thing#1'])","['physical entity#1', 'object#1']",1.1993327804600091,6.3774205721984458
10,0,0.5,False,0.03,-1,dial:N,mouth:N,"set(['dial', 'side#5', 'whole#2', 'part#3', 'artifact#1', 'rima#1', 'body part#1', 'structure#4', 'entity#1', 'passage#7', 'surface#1', 'physical entity#1', 'mouth', 'object#1', 'face#8', 'orifice#1', 'front#4', 'thing#12'])","['entity#1', 'physical entity#1']",0.89945411711382717,0.26514207914699051
10,0,0.5,False,0.03,-1,dirt:N,walk:N,"set(['earth#2', 'part#1', 'physical entity#1', 'matter#3', 'act#2', 'dirt', 'abstraction#6', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'substance#1', 'event#1', 'change#3', 'psychological feature#1', 'motion#6', 'relation#1', 'material#1'])","['abstraction#6', 'entity#1']",0.92962638141451748,0.45824182449313866
10,0,0.5,False,0.03,-1,dust:N,finger:N,"set(['particulate#1', 'part#1', 'external body part#1', 'part#3', 'matter#3', 'abstraction#6', 'body part#1', 'substance#1', 'entity#1', 'physical entity#1', 'relation#1', 'extremity#5', 'digit#3', 'dust', 'material#1', 'extremity#1', 'thing#12', 'finger'])","['entity#1', 'physical entity#1']",0.96237139823512485,0.68141982391595024
10,0,0.5,False,0.03,-1,dust:N,walk:N,"set(['particulate#1', 'part#1', 'physical entity#1', 'matter#3', 'act#2', 'abstraction#6', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'substance#1', 'event#1', 'dust', 'change#3', 'psychological feature#1', 'motion#6', 'relation#1', 'material#1'])","['abstraction#6', 'entity#1']",0.92962638141451748,0.45824182449313866
10,0,0.5,False,0.03,-1,duvet:N,finger:N,"set(['object#1', 'external body part#1', 'part#3', 'artifact#1', 'duvet', 'body part#1', 'whole#2', 'entity#1', 'cloth covering#1', 'physical entity#1', 'covering#2', 'quilt#1', 'extremity#5', 'digit#3', 'extremity#1', 'bedclothes#1', 'thing#12', 'finger'])","['entity#1', 'physical entity#1']",0.9000606364263849,0.26733839972181261
10,0,0.5,False,0.03,-1,dwarf:N,rain:N,"set(['object#1', 'weather#1', 'atmospheric phenomenon#1', 'entity#1', 'causal agent#1', 'living thing#1', 'person#1', 'precipitation#3', 'whole#2', 'rain', 'physical entity#1', 'physical phenomenon#1', 'process#6', 'small person#1', 'phenomenon#1', 'dwarf', 'natural phenomenon#1', 'organism#1'])","['entity#1', 'physical entity#1']",0.8142351957577092,0.11155698422167834
10,0,0.5,False,0.03,-1,edinburgh:N,helicopter:N,"set(['vehicle#1', 'capital#3', 'conveyance#3', 'artifact#1', 'area#1', 'location#1', 'whole#2', 'region#3', 'physical entity#1', 'edinburgh', 'center#1', 'object#1', 'craft#2', 'heavier-than-air craft#1', 'instrumentality#3', 'aircraft#1', 'seat#5'])","['physical entity#1', 'object#1']",1.1620747394360662,5.3819628149713878
10,0,0.5,False,0.03,-1,escalator:N,walk:N,"set(['communication#2', 'article#3', 'escalator', 'music#1', 'auditory communication#1', 'writing#2', 'act#2', 'abstraction#6', 'written communication#1', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'section#1', 'event#1', 'change#3', 'psychological feature#1', 'motion#6'])","['abstraction#6', 'entity#1']",1.0253286058801225,1.308323068541414
10,0,0.5,False,0.03,-1,filth:N,walk:N,"set(['filth', 'part#1', 'physical entity#1', 'matter#3', 'act#2', 'abstraction#6', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'substance#1', 'event#1', 'waste#1', 'change#3', 'psychological feature#1', 'motion#6', 'relation#1', 'material#1'])","['abstraction#6', 'entity#1']",0.92839473583324117,0.45283029140831682
10,0,0.5,False,0.03,-1,flask:N,finger:N,"set(['bottle#1', 'object#1', 'container#1', 'external body part#1', 'part#3', 'artifact#1', 'body part#1', 'whole#2', 'entity#1', 'vessel#3', 'physical entity#1', 'extremity#5', 'digit#3', 'flask', 'extremity#1', 'instrumentality#3', 'thing#12', 'finger'])","['entity#1', 'physical entity#1']",0.85165490594671767,0.15580678790060437
10,0,0.5,False,0.03,-1,floodlight:N,toe:N,"set(['light#2', 'object#1', 'external body part#1', 'part#3', 'artifact#1', 'body part#1', 'whole#2', 'entity#1', 'physical entity#1', 'device#1', 'source of illumination#1', 'extremity#5', 'digit#3', 'extremity#1', 'instrumentality#3', 'floodlight', 'thing#12', 'toe'])","['entity#1', 'physical entity#1']",0.85578235532350433,0.16246682418342553
10,0,0.5,False,0.03,-1,france:N,grandma:N,"set(['district#1', 'administrative district#1', 'organism#1', 'causal agent#1', 'location#1', 'country#2', 'person#1', 'whole#2', 'ancestor#1', 'france', 'physical entity#1', 'european country#1', 'region#3', 'object#1', 'forebear#1', 'relative#1', 'living thing#1'])","['physical entity#1', 'object#1']",1.1982316706961174,6.3323082431597957
10,0,0.5,False,0.03,-1,france:N,lady:N,"set(['district#1', 'administrative district#1', 'female#2', 'organism#1', 'causal agent#1', 'location#1', 'country#2', 'woman#1', 'person#1', 'whole#2', 'region#3', 'adult#1', 'physical entity#1', 'european country#1', 'object#1', 'living thing#1'])","['physical entity#1', 'object#1']",1.1909974877055811,6.0336142937900075
10,0,0.5,False,0.03,-1,france:N,mummy:N,"set(['district#1', 'progenitor#1', 'organism#1', 'causal agent#1', 'location#1', 'country#2', 'administrative district#1', 'person#1', 'whole#2', 'ancestor#1', 'france', 'physical entity#1', 'european country#1', 'region#3', 'object#1', 'relative#1', 'living thing#1'])","['physical entity#1', 'object#1']",1.1993327804600089,6.3774205721984405
10,0,0.5,False,0.03,-1,gargle:N,skull:N,"set(['gargle', 'part#1', 'skull', 'part#3', 'matter#3', 'connective tissue#1', 'body part#1', 'tissue#1', 'entity#1', 'substance#1', 'bone#1', 'physical entity#1', 'relation#1', 'animal tissue#1', 'solution#1', 'abstraction#6', 'thing#12', 'mixture#1'])","['entity#1', 'physical entity#1']",0.97275407984893114,0.75536663140048188
10,0,0.5,False,0.03,-1,gloucester:N,flower:N,"set(['district#1', 'administrative district#1', 'flower', 'municipality#1', 'organism#1', 'location#1', 'vascular plant#1', 'spermatophyte#1', 'whole#2', 'region#3', 'urban area#1', 'physical entity#1', 'living thing#1', 'geographical area#1', 'plant#2', 'angiosperm#1', 'object#1'])","['physical entity#1', 'object#1']",1.1401758315389048,4.0106694629258071
