condition,sub. match,basic match,super. match
1 ex.,1.0,0.5,0.25
2 subord.,1.0,0.734693877551,0.539775093711
2 basic,1.0,0.857142857143,0.629737609329
2 super.,1.0,0.857142857143,0.734693877551
3 subord.,1.0,0.894101414281,0.799417339019
3 basic,1.0,0.947368421053,0.847043445108
3 super.,1.0,0.947368421053,0.897506925208
4 subord.,1.0,0.961375799983,0.924243428793
4 basic,1.0,0.975609756098,0.937927609739
4 super.,1.0,0.969696969697,0.940312213039
