condition,sub. match,basic match,super. match
1 ex.,0.9999830651978489210610589647456816064028168336090138397898477316364789524190181974918499390660389189,0.00001693480100883982510166345851019657138713202322927697093506067107409505346238362659402652303543352789,0.000000000001142239113839371795808197025796034367756883239217207692446952527519418881556034410925647590616985038
3 sub.,0.9999999964598670055848298050225444139764005146766370433309320585511438351653422031427870157553241066,0.000000003540132994409642110407142046720417500285010181262693479534140165586547835221962473029282155450505977,0.000000000000000000005528084570313539303181985038352775406374461914715999248109961635250511215393737904749540442570562264
3 basic,0.9870414623817697261109084157770227362440793131414426680988365179394950138251162736450184218807850863,0.01295853761821368065799050584587580707623129033142459500443875036655705981954664769046752839108433239,0.00000000000001659323110107837710145667968939652713273689672473169394792635533707866451404972813058128480801192407
3 super.,0.8709976956466094841139532688425169333147268618927546175816187134853963861420710222597551917133082734,0.1170887713489253601235372877968930336625604643340563169869515322079437714535895063256827284867221848,0.01191353300446515576250944336059003302271267377318906543142975430665984240433947141456207979996954179
