word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
great:ADJ,1,101,46,101,1,46,101,
green:N,5,402,117,402,1,117,540,
gregory:N,1,139,56,-1,-1,-1,139,
guitar:N,1,157,61,-1,-1,-1,157,
hand:N,2,215,77,430,2,130,430,
handle:N,1,601,178,-1,-1,-1,601,
hang:V,1,833,233,-1,-1,-1,833,
happen:V,3,820,229,-1,-1,-1,941,
hat:N,2,654,191,-1,-1,-1,811,
have:V,49,50,29,102,3,47,987,
he:N,14,46,29,556,2,165,939,
head:N,3,420,125,650,2,188,883,
hedgehog:N,1,838,233,-1,-1,-1,838,
helicopter:N,1,678,194,-1,-1,-1,678,
help:N,1,953,251,-1,-1,-1,953,
her:N,9,133,55,133,1,55,971,
here:ADV,27,19,12,108,4,50,1000,
here:OTH,1,733,205,733,1,205,733,
hey:OTH,1,814,227,814,1,227,814,
highchair:N,2,955,252,-1,-1,-1,957,
him:N,10,149,59,798,4,220,955,
his:DET,4,91,43,172,2,66,933,
hold:N,1,508,155,508,1,155,508,
hold:V,1,869,239,-1,-1,-1,869,
horse:N,5,364,108,418,4,123,442,
house:N,14,568,168,583,3,170,682,
how:ADV,3,226,79,407,2,120,480,
huh:OTH,1,324,100,324,1,100,324,
humpty_dumpty:N,4,369,108,382,2,110,398,
hurt:N,1,232,80,232,1,80,232,
hurt:V,2,234,81,-1,-1,-1,815,
i:N,57,9,5,20,2,12,978,
if:CONJ,3,571,168,-1,-1,-1,662,
in:PREP,37,29,18,91,2,43,957,
it:N,118,4,2,40,2,23,1000,
its:DET,1,421,125,421,1,125,421,
joel:N,6,1,0,206,3,74,258,
john:N,18,413,121,413,1,121,643,
juice:N,1,989,258,989,1,258,989,
jump:V,2,450,136,450,1,136,451,
junk:N,2,703,199,704,2,199,704,
just:ADV,6,95,45,495,4,150,935,
keep:V,1,488,147,-1,-1,-1,488,
key:N,3,235,81,235,1,81,788,
kick:V,1,950,251,-1,-1,-1,950,
kiss:N,1,314,97,-1,-1,-1,314,
know:V,9,261,87,336,2,103,923,
ladder:N,1,728,205,-1,-1,-1,728,
lady:N,3,153,61,170,2,65,202,
last:N,1,117,54,-1,-1,-1,117,
last:V,1,551,164,-1,-1,-1,551,
left:ADJ,1,629,187,-1,-1,-1,629,
leg:N,2,422,126,422,1,126,653,
let:V,17,9,5,-1,-1,-1,798,
like:PREP,8,226,79,424,2,128,757,
like:V,12,120,54,752,7,212,986,
listen:V,2,551,164,-1,-1,-1,553,
liz:N,11,667,193,667,1,193,920,
long:ADJ,1,345,106,-1,-1,-1,345,
look:N,4,145,57,336,3,104,766,
look:V,13,79,40,108,2,49,818,
lose:V,2,169,65,-1,-1,-1,171,
love:N,1,789,219,-1,-1,-1,789,
lucy:N,1,302,96,302,1,96,302,
magnet:N,1,791,219,-1,-1,-1,791,
make:V,10,147,58,463,3,142,940,
mama:N,1,154,61,-1,-1,-1,154,
many:DET,1,628,187,-1,-1,-1,628,
martin:N,3,254,86,255,2,86,317,
mat:N,1,723,204,-1,-1,-1,723,
matter:N,2,329,102,813,2,226,813,
me:N,22,14,9,22,2,14,869,
mean:V,3,369,108,768,3,216,768,
might:AUX,4,224,79,684,2,197,915,
might:N,1,885,243,-1,-1,-1,885,
milk:N,3,847,236,967,3,255,967,
mind:V,1,498,153,-1,-1,-1,498,
minute:N,3,550,164,-1,-1,-1,786,
miss:V,4,110,51,112,2,51,133,
monkey:N,1,775,219,-1,-1,-1,775,
more:DET,7,44,27,44,1,27,588,
morning:N,1,22,14,-1,-1,-1,22,
mouth:N,1,439,132,439,1,132,439,
move:V,1,787,219,-1,-1,-1,787,
much:DET,1,441,133,441,1,133,441,
mum:N,1,36,21,-1,-1,-1,36,
mummy:N,7,434,131,456,2,138,843,
my:DET,2,745,211,-1,-1,-1,752,
name:N,1,555,165,-1,-1,-1,555,
need:N,1,970,257,-1,-1,-1,970,
need:V,2,52,30,-1,-1,-1,954,
next:ADJ,2,106,49,-1,-1,-1,190,
next:ADV,1,532,160,-1,-1,-1,532,
nice:ADJ,3,623,186,946,2,250,988,
nicole:N,1,983,258,-1,-1,-1,983,
night:N,1,551,164,-1,-1,-1,551,
no:DET,1,629,187,-1,-1,-1,629,
no:OTH,28,7,3,7,1,3,977,
noise:N,1,795,220,-1,-1,-1,795,
nose:N,7,91,43,287,2,94,879,
not:NEG,65,1,0,46,6,28,993,
now:ADV,12,5,2,56,2,30,939,
number:N,1,80,41,-1,-1,-1,80,
nursery:N,1,742,208,742,1,208,742,
of:PREP,9,345,106,533,2,160,960,
off:PREP,4,69,35,458,3,140,514,
oh:OTH,112,10,5,10,1,5,999,
on:PREP,32,105,48,141,2,56,933,
one:DET,4,405,118,436,2,131,768,
one:N,31,39,22,73,2,36,956,
or:CONJ,2,476,146,511,2,158,511,
orange:N,4,132,55,561,3,167,870,
other:DET,2,916,247,-1,-1,-1,917,
out:ADV,7,225,79,486,2,146,833,
out:PREP,5,315,98,454,2,137,766,
over:PREP,2,108,49,-1,-1,-1,950,
owl:N,2,821,229,821,1,229,826,
page:N,2,190,72,-1,-1,-1,193,
paint:V,1,475,145,475,1,145,475,
pan:N,1,617,184,-1,-1,-1,617,
panda:N,2,790,219,-1,-1,-1,792,
paper:N,1,732,205,-1,-1,-1,732,
pardon:V,5,285,93,285,1,93,658,
part:N,1,944,250,-1,-1,-1,944,
party:N,2,824,230,839,2,233,839,
pat:N,6,42,25,42,1,25,105,
pen:N,1,729,205,-1,-1,-1,729,
percy:N,1,335,103,-1,-1,-1,335,
person:N,3,669,194,699,2,198,701,
photo:N,1,252,84,252,1,84,252,
photograph:N,1,290,95,-1,-1,-1,290,
pick:V,1,51,29,-1,-1,-1,51,
pickle:N,1,625,186,-1,-1,-1,625,
picture:N,1,37,21,-1,-1,-1,37,
pie:N,6,959,252,959,1,252,995,
piece:N,3,95,45,-1,-1,-1,732,
pig:N,2,711,201,713,2,201,713,
pink:ADJ,1,493,148,-1,-1,-1,493,
play:N,3,6,2,326,2,101,663,
play:V,13,5,2,9,3,4,710,
please:OTH,1,950,251,-1,-1,-1,950,
plenty:N,1,646,187,-1,-1,-1,646,
poor:ADJ,3,659,193,717,2,202,890,
post:V,1,628,187,-1,-1,-1,628,
pot:N,3,609,180,609,1,180,612,
pram:N,4,672,194,880,2,241,947,
pretend:V,2,418,124,706,2,200,706,
pull:V,2,95,45,-1,-1,-1,307,
purple:N,1,478,146,-1,-1,-1,478,
put:V,17,91,43,572,6,168,955,
rain:N,2,386,111,386,1,111,387,
rain:V,3,381,109,381,1,109,578,
read:V,3,176,69,331,2,102,768,
really:ADV,8,22,14,755,5,213,992,
recognise:V,1,504,154,504,1,154,504,
red:ADJ,3,534,161,877,3,240,877,
red:N,5,61,32,62,2,32,575,
remember:V,1,552,164,552,1,164,552,
right:ADJ,1,399,117,-1,-1,-1,399,
right:ADV,12,12,7,12,1,7,969,
right:OTH,11,541,161,655,2,191,996,
roof:N,3,587,172,-1,-1,-1,607,
room:N,2,441,133,-1,-1,-1,448,
round:V,1,469,144,-1,-1,-1,469,
rub:V,4,69,35,584,3,171,585,
run:V,2,775,219,903,2,244,903,
sad:ADJ,1,158,61,-1,-1,-1,158,
sandwich:N,1,845,235,845,1,235,845,
sausage:N,2,616,183,616,1,183,617,
